ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202209,한국맥도날드(유)제주탑동점,제주시,건입동,제주시내,패스트푸드,햄버거,8.79,32.54,0.38,7.22,1.06,16.79,-8.21,13102,다다09b03a
202209,모드락탑동점,제주시,건입동,제주시내,한식,단품요리 전문,3.74,5.31,0.62,4.06,0.88,5.24,-2.68,12995,다다09a03a
202209,고집돌우럭,제주시,건입동,제주시내,한식,회,0.49,0.17,2.2,3.56,2.08,3.14,-1.85,12825,다다09b03a
202209,산지해장국,제주시,건입동,제주시내,한식,해장국,2.5,4.05,0.43,2.83,0.6,3.77,-2.07,12885,다다09b03a
202209,산지물,제주시,건입동,제주시내,한식,가정식,2.69,1.79,1.09,2.28,1.22,2.55,-0.66,11857,다다09b03a
202209,주식회사 제이에스디비,제주시,건입동,제주시내,한식,단품요리 전문,1.03,3.1,0.14,2.01,0.22,2.75,-1.41,12657,다다09b03a
202209,에이바우트커피칠성점,제주시,건입동,제주시내,음료,커피,1.86,9.14,0.07,1.8,0.22,4.52,-2.29,12929,다다09b03a
202209,카페타리,제주시,건입동,제주시내,음료,커피,0,0,0.04,1.68,0.03,1.46,-0.88,12245,다다11b02b
202209,돈향기,제주시,건입동,제주시내,한식,돼지고기,0.54,0.22,0.88,1.55,0.85,1.41,-0.63,11766,다다09b03a
202209,국제토산품스낵,제주시,건입동,제주시내,한식,단품요리 전문,0.74,2.12,0.09,1.33,0.14,1.84,-0.35,10479,다다11a03b
202209,롯데리아 제주항디티점,제주시,건입동,제주시내,패스트푸드,햄버거,3.3,9.03,0.1,1.29,0.36,4.05,-1.94,12848,다다10a03a
202209,물항식당본점,제주시,건입동,제주시내,한식,가정식,0.73,0.5,0.61,1.25,0.63,1.25,-0.49,11283,다다09b03a
202209,돔베돈,제주시,건입동,제주시내,한식,돼지고기,1.11,0.36,0.73,1.16,0.76,1.12,-0.34,10408,다다09b03a
202209,주식회사 바스코,제주시,건입동,제주시내,한식,단품요리 전문,10.39,8.64,0.32,1.11,1.13,3.76,-2.24,12915,다다09a03a
202209,남양,제주시,건입동,제주시내,한식,가정식,1.24,2.38,0.11,1,0.2,1.64,-0.95,12321,다다10a03b
202209,신현대식당,제주시,건입동,제주시내,한식,가정식,0.39,0.31,0.36,0.98,0.36,0.95,-0.7,11948,다다09b03a
202209,(주)참숯구이몬트락,제주시,건입동,제주시내,한식,가정식,2.05,0.67,0.6,0.96,0.72,1.05,-0.36,10565,다다09b03a
202209,(주)한일고속,제주시,건입동,제주시내,한식,단품요리 전문,0.23,0.95,0.04,0.87,0.06,1.06,-0.39,10755,다다10a03b
202209,윤옥,제주시,건입동,제주시내,한식,단품요리 전문,2.23,3.61,0.08,0.66,0.25,1.74,-0.9,12270,다다09a03a
202209,팔도수산,제주시,건입동,제주시내,한식,회,0.48,0.59,0.13,0.65,0.16,0.75,-0.23,9050,다다09b03a
202209,제주시건입동도시재생현장지원센터,제주시,건입동,제주시내,음료,커피,0.4,1.31,0.05,0.6,0.08,0.94,-0.43,10979,다다11a03b
202209,브라보,제주시,건입동,제주시내,양식,양식,0.24,0.73,0.03,0.6,0.05,0.75,-0.4,10822,다다09b03a
202209,미풍해장국 제주항점,제주시,건입동,제주시내,한식,해장국,0.79,1.26,0.1,0.59,0.16,0.91,-0.56,11548,다다10a03a
202209,탑부평,제주시,건입동,제주시내,한식,단품요리 전문,3.21,1.34,0.32,0.57,0.56,0.93,-0.58,11621,다다09b03a
202209,몰랑몰랑카페,제주시,건입동,제주시내,음료,커피,0.58,0.67,0.07,0.55,0.11,0.7,-0.47,11188,다다09a03a
202209,뽀글뽀글,제주시,건입동,제주시내,한식,가정식,2.11,3.3,0.11,0.53,0.27,1.53,-0.9,12271,다다10a03a
202209,유명야시장,제주시,건입동,제주시내,한식,단품요리 전문,0.45,0.22,0.21,0.53,0.23,0.53,-0.28,9757,다다09b03a
202209,은빛식당,제주시,건입동,제주시내,한식,가정식,0.95,1.26,0.08,0.52,0.15,0.86,-0.53,11430,다다09b03a
202209,해짓골국수,제주시,건입동,제주시내,한식,면류,0.37,0.61,0.07,0.51,0.1,0.64,-0.38,10667,다다09b03a
202209,서가앤쿡 제주점,제주시,건입동,제주시내,양식,패밀리 레스토랑,3.45,2.38,0.13,0.5,0.4,1.2,-0.64,11796,다다09b03a
202209,앞돈지,제주시,건입동,제주시내,한식,돼지고기,2.95,1.54,0.24,0.49,0.46,0.92,-0.23,9202,다다09b03a
202209,우당도서관구내식당,제주시,건입동,제주시내,한식,구내식당/푸드코트,0.91,7.13,0.02,0.49,0.09,2.73,-1.61,12729,다다11b03a
202209,기회횟집,제주시,건입동,제주시내,아시아음식,회,0.62,0.33,0.29,0.48,0.32,0.52,-0.25,9383,다다09a03a
