ANALS_YM,CMPNM_NM,SIGNGU_NM,ADSTRD_NM,AREA_NM,MLSFC_NM,SCLAS_NM,JJINHBT_SALES_PRICE_RATE,JJINHBT_SALES_CO_RATE,OTSD_SALES_PRICE_RATE,OTSD_SALES_CO_RATE,ALL_SALES_PRICE_RATE,ALL_SALES_CO_RATE,VARTION_RT,RANK_CO,GID_ID
202210,한국맥도날드(유)제주탑동점,제주시,건입동,제주시내,패스트푸드,햄버거,9.99,35.3,0.33,8.41,1.02,19.61,-2.82,12999,다다09b03a
202210,모드락탑동점,제주시,건입동,제주시내,한식,단품요리 전문,3.6,4.72,0.6,4.8,0.84,5.66,-0.42,11946,다다09a03a
202210,산지해장국,제주시,건입동,제주시내,한식,해장국,3.06,4.23,0.49,4.18,0.69,4.97,-1.2,12854,다다09b03a
202210,고집돌우럭,제주시,건입동,제주시내,한식,회,1.02,0.38,1.85,4.05,1.89,3.49,-0.35,11668,다다09b03a
202210,주식회사 제이에스디비,제주시,건입동,제주시내,한식,단품요리 전문,1.45,3.88,0.17,2.73,0.26,3.65,-0.9,12734,다다09b03a
202210,산지물,제주시,건입동,제주시내,한식,가정식,2.24,1.44,0.9,2.6,1.04,2.67,-0.12,8825,다다09b03a
202210,국제토산품스낵,제주시,건입동,제주시내,한식,단품요리 전문,0.99,3.12,0.15,2.57,0.21,3.24,-1.4,12906,다다11a03b
202210,카페타리,제주시,건입동,제주시내,음료,커피,0,0,0.04,2.23,0.04,1.85,-0.39,11859,다다11b02b
202210,물항식당본점,제주시,건입동,제주시내,한식,가정식,1.06,0.81,0.74,2.01,0.8,1.95,-0.7,12548,다다09b03a
202210,(주)한일고속,제주시,건입동,제주시내,한식,단품요리 전문,0.31,0.84,0.08,1.85,0.1,1.84,-0.78,12645,다다10a03b
202210,돔베돈,제주시,건입동,제주시내,한식,돼지고기,2.18,0.63,0.84,1.74,0.97,1.66,-0.54,12297,다다09b03a
202210,에이바우트커피칠성점,제주시,건입동,제주시내,음료,커피,1.36,6.97,0.06,1.72,0.15,3.92,0.6,19,다다09b03a
202210,돈향기,제주시,건입동,제주시내,한식,돼지고기,0.76,0.41,0.76,1.67,0.8,1.52,-0.11,8563,다다09b03a
202210,롯데리아 제주항디티점,제주시,건입동,제주시내,패스트푸드,햄버거,3.37,8.7,0.09,1.57,0.32,4.42,-0.37,11763,다다10a03a
202210,남양,제주시,건입동,제주시내,한식,가정식,1.16,2.41,0.12,1.51,0.2,2.12,-0.48,12157,다다10a03b
202210,주식회사 바스코,제주시,건입동,제주시내,한식,단품요리 전문,12.93,8.97,0.25,1.42,1.15,4.39,-0.63,12455,다다09a03a
202210,신현대식당,제주시,건입동,제주시내,한식,가정식,0.21,0.16,0.49,1.31,0.49,1.15,-0.2,10238,다다09b03a
202210,(주)참숯구이몬트락,제주시,건입동,제주시내,한식,가정식,1.48,0.49,0.53,1.09,0.62,1.08,-0.03,5207,다다09b03a
202210,윤옥,제주시,건입동,제주시내,한식,단품요리 전문,2.54,3.74,0.09,0.92,0.27,2.1,-0.36,11720,다다09a03a
202210,뽀글뽀글,제주시,건입동,제주시내,한식,가정식,2.71,3.74,0.15,0.9,0.34,2.09,-0.56,12338,다다10a03a
202210,탑부평,제주시,건입동,제주시내,한식,단품요리 전문,4.48,1.6,0.37,0.87,0.67,1.29,-0.36,11696,다다09b03a
202210,제주시건입동도시재생현장지원센터,제주시,건입동,제주시내,음료,커피,0.77,2.14,0.04,0.81,0.1,1.44,-0.5,12196,다다11a03b
202210,팔도수산,제주시,건입동,제주시내,한식,회,0.57,0.54,0.13,0.81,0.17,0.86,-0.11,8310,다다09b03a
202210,앞돈지,제주시,건입동,제주시내,한식,돼지고기,2.61,1.22,0.3,0.77,0.48,1.08,-0.16,9634,다다09b03a
202210,몰랑몰랑카페,제주시,건입동,제주시내,음료,커피,0.7,0.81,0.07,0.75,0.12,0.91,-0.21,10501,다다09a03a
202210,미풍해장국 제주항점,제주시,건입동,제주시내,한식,해장국,0.8,1.19,0.07,0.7,0.13,1.01,-0.1,8008,다다10a03a
202210,브라보,제주시,건입동,제주시내,양식,양식,0.3,0.95,0.03,0.63,0.05,0.86,-0.11,8311,다다09b03a
202210,유명야시장,제주시,건입동,제주시내,한식,단품요리 전문,0.11,0.11,0.22,0.61,0.22,0.54,-0.01,3760,다다09b03a
202210,은빛식당,제주시,건입동,제주시내,한식,가정식,1.24,1.22,0.08,0.6,0.17,0.93,-0.07,7230,다다09b03a
202210,우당도서관구내식당,제주시,건입동,제주시내,한식,구내식당/푸드코트,1.14,7.81,0.01,0.57,0.09,3.27,-0.54,12300,다다11b03a
202210,기회횟집,제주시,건입동,제주시내,아시아음식,회,0.73,0.32,0.24,0.55,0.28,0.57,-0.05,5843,다다09a03a
202210,해진횟집,제주시,건입동,제주시내,아시아음식,회,1.63,0.27,0.51,0.51,0.62,0.52,-0.18,9949,다다09b03a
202210,금보식당,제주시,건입동,제주시내,한식,가정식,1.48,0.35,0.17,0.43,0.27,0.49,-0.22,10532,다다09b03a
202210,신해조,제주시,건입동,제주시내,한식,가정식,0.58,0.3,0.14,0.42,0.18,0.46,-0.08,7491,다다09b03a
202210,서가앤쿡 제주점,제주시,건입동,제주시내,양식,패밀리 레스토랑,4.28,2.33,0.13,0.41,0.43,1.17,0.03,1411,다다09b03a
202210,김밥천국탑동본점,제주시,건입동,제주시내,간식,분식,0.57,1.63,0.03,0.41,0.07,0.92,-0.23,10726,다다09b03a
202210,건입동마을협동조합,제주시,건입동,제주시내,한식,가정식,0.86,0.73,0.08,0.36,0.14,0.56,-0.18,10045,다다10a03a
202210,복희해장국,제주시,건입동,제주시내,한식,해장국,0.35,0.54,0.03,0.34,0.06,0.48,-0.23,10643,다다09b03a
202210,영천횟집,제주시,건입동,제주시내,한식,회,0.89,0.16,0.27,0.33,0.32,0.33,-0.02,4534,다다09b03a
202210,주식회사 베드라디오,제주시,건입동,제주시내,한식,가정식,0.17,0.19,0.04,0.33,0.05,0.34,0.12,336,다다09b03a
202210,조약돌,제주시,건입동,제주시내,한식,가정식,1.54,1.66,0.08,0.31,0.19,0.85,-0.23,10644,다다10b03a
202210,호텔더블류탑동점,제주시,건입동,제주시내,한식,단품요리 전문,0.26,0.14,0.1,0.31,0.12,0.3,-0.13,8870,다다09b03a
202210,해동이네,제주시,건입동,제주시내,한식,가정식,1.48,2.33,0.04,0.29,0.14,1.08,-0.27,11064,다다10b03a
202210,전통탑향,제주시,건입동,제주시내,한식,가정식,1.38,1.27,0.04,0.29,0.13,0.7,-0.37,11740,다다09b03a
202210,우정회관,제주시,건입동,제주시내,한식,가정식,0.35,0.08,0.45,0.29,0.47,0.27,-0.12,8789,다다09b03a
202210,소라횟집,제주시,건입동,제주시내,한식,회,1.01,0.3,0.17,0.28,0.24,0.34,-0.04,5758,다다09b03a
202210,소완도식당,제주시,건입동,제주시내,한식,가정식,0.42,0.41,0.04,0.28,0.07,0.38,0.03,1716,다다10a03a
202210,서부두,제주시,건입동,제주시내,한식,가정식,0.33,0.3,0.09,0.28,0.11,0.34,-0.04,5759,다다09b03a
202210,정주네 식당,제주시,건입동,제주시내,한식,가정식,0.44,0.35,0.09,0.27,0.12,0.35,-0.11,8312,다다09b03a
202210,안전,제주시,건입동,제주시내,한식,가정식,2.07,3.15,0.02,0.26,0.17,1.34,-0.24,10758,다다10b02b
202210,교촌치킨탑동점,제주시,건입동,제주시내,패스트푸드,치킨,1.38,1.79,0.04,0.26,0.13,0.86,-0.01,3761,다다09a03a
202210,동문카페,제주시,건입동,제주시내,음료,커피,0.9,0.73,0.04,0.26,0.11,0.48,-0.05,5861,다다09a03a
202210,화로향,제주시,건입동,제주시내,한식,단품요리 전문,1.07,0.16,0.14,0.23,0.21,0.25,-0.01,3762,다다09b03a
202210,르부이부이,제주시,건입동,제주시내,한식,가정식,1.2,0.24,0.11,0.22,0.19,0.27,-0.04,5585,다다10b03a
202210,슬기식당,제주시,건입동,제주시내,한식,가정식,1.13,1.81,0.02,0.22,0.1,0.83,-0.15,9291,다다10b02b
202210,끄띠탑동,제주시,건입동,제주시내,한식,단품요리 전문,0.67,0.27,0.06,0.22,0.11,0.28,-0.08,7492,다다09b03a
202210,대궁갈비,제주시,건입동,제주시내,한식,갈비,3.8,1.57,0.07,0.21,0.34,0.74,-0.41,11928,다다10b03a
202210,거제도횟집,제주시,건입동,제주시내,한식,회,0.6,0.05,0.21,0.21,0.25,0.19,-0.14,9175,다다09b03a
202210,하나로식당,제주시,건입동,제주시내,한식,단품요리 전문,1.6,2.47,0.03,0.2,0.14,1.05,-0.34,11623,다다10a03a
202210,꽃진미,제주시,건입동,제주시내,한식,가정식,0.7,1.57,0.02,0.2,0.07,0.73,-0.16,9635,다다10b03a
202210,대돈앤엘리팝,제주시,건입동,제주시내,주점및주류판매,돼지고기,0.3,0.19,0.06,0.2,0.08,0.23,-0.03,4772,다다09b03a
202210,휘슬피쉬본점,제주시,건입동,제주시내,한식,단품요리 전문,0.28,0.14,0.08,0.2,0.09,0.21,-0.04,5315,다다09b03a
202210,탑고향,제주시,건입동,제주시내,한식,가정식,0.13,0.05,0.1,0.2,0.1,0.18,-0.11,8313,다다09b03a
202210,정말맛있는식당,제주시,건입동,제주시내,한식,가정식,1.56,1.66,0.02,0.19,0.13,0.75,-0.08,7267,다다10b02b
202210,하노이안브라더스,제주시,건입동,제주시내,한식,단품요리 전문,1.51,1.66,0.03,0.19,0.13,0.75,-0.13,8892,다다11a02a
202210,돈물국수,제주시,건입동,제주시내,한식,면류,1,1.57,0.02,0.19,0.09,0.72,-0.2,10239,다다10a02b
202210,유달산,제주시,건입동,제주시내,한식,가정식,0.47,0.3,0.04,0.19,0.08,0.26,-0.07,6940,다다09b03a
202210,서부두초가장,제주시,건입동,제주시내,한식,단품요리 전문,0.25,0.11,0.12,0.19,0.13,0.19,-0.08,7415,다다09b03a
202210,파티올레키친,제주시,건입동,제주시내,한식,가정식,0.09,0.27,0.01,0.19,0.02,0.25,-0.19,10140,다다10a03a
202210,주식회사 제로포인트트레일,제주시,건입동,제주시내,한식,단품요리 전문,0.03,0.11,0.02,0.19,0.02,0.19,-0.07,6941,다다09b02b
202210,해짓골국수,제주시,건입동,제주시내,한식,면류,0.08,0.08,0.03,0.18,0.03,0.17,0.47,30,다다09b03a
202210,오동도식당,제주시,건입동,제주시내,한식,가정식,0.06,0.08,0.02,0.18,0.03,0.17,-0.1,8136,다다09b03a
202210,제주이디오라커피,제주시,건입동,제주시내,한식,커피,0.05,0.11,0.01,0.18,0.01,0.18,-0.01,3289,다다10a03a
202210,대진횟집,제주시,건입동,제주시내,한식,회,0.84,0.14,0.16,0.17,0.22,0.18,-0.06,6372,다다09b03a
202210,칠성골흑돼지,제주시,건입동,제주시내,한식,돼지고기,0.52,0.08,0.07,0.17,0.1,0.17,0.04,1349,다다09b03a
202210,전설의짬뽕 동문로점,제주시,건입동,제주시내,아시아음식,중식,1.12,1.68,0.01,0.15,0.09,0.73,-0.12,8595,다다10b02b
