,음식점명,시군구명,행정동명,지역명,중분류,소분류,10월현지인매출금액,10월현지인매출수,10월외지인매출금액,10월외지인매출수,10월전체매출금액비율,10월전체매출수비율,9월현지인매출금액,9월현지인매출수,9월외지인매출금액,9월외지인매출수,9월전체매출금액비율,9월전체매출수비율,8월현지인매출금액,8월현지인매출수,8월외지인매출금액,8월외지인매출수,8월전체매출금액비율,8월전체매출수비율,현지인매출금액비율,현지인매출수비율,외지인매출금액비율,외지인매출수비율,3개월전체매출금액,3개월전체매출수
0,한국맥도날드(유)제주탑동점,제주시,건입동,제주시내,패스트푸드,햄버거,9.99,35.3,0.33,8.41,1.02,19.61,8.79,32.54,0.38,7.22,1.06,16.79,3.44,30.79,0.28,4.82,0.54,8.58,7.41,32.88,0.33,6.82,0.87,14.99
1,모드락탑동점,제주시,건입동,제주시내,한식,단품요리 전문,3.6,4.72,0.6,4.8,0.84,5.66,3.74,5.31,0.62,4.06,0.88,5.24,2.08,6.05,0.35,1.96,0.49,2.56,3.14,5.36,0.52,3.61,0.74,4.49
2,산지해장국,제주시,건입동,제주시내,한식,해장국,3.06,4.23,0.49,4.18,0.69,4.97,2.5,4.05,0.43,2.83,0.6,3.77,0.98,3.38,0.22,1.42,0.28,1.7,2.18,3.89,0.38,2.81,0.52,3.48
3,산지해장국,제주시,건입동,제주시내,한식,해장국,3.06,4.23,0.49,4.18,0.69,4.97,2.5,4.05,0.43,2.83,0.6,3.77,0.33,1.24,0.06,0.4,0.08,0.52,1.96,3.17,0.33,2.47,0.46,3.09
4,산지해장국,제주시,건입동,제주시내,한식,해장국,3.06,4.23,0.49,4.18,0.69,4.97,1.25,1.9,0.13,0.86,0.23,1.36,0.98,3.38,0.22,1.42,0.28,1.7,1.76,3.17,0.28,2.15,0.4,2.68
5,산지해장국,제주시,건입동,제주시내,한식,해장국,3.06,4.23,0.49,4.18,0.69,4.97,1.25,1.9,0.13,0.86,0.23,1.36,0.33,1.24,0.06,0.4,0.08,0.52,1.55,2.46,0.23,1.81,0.33,2.28
6,고집돌우럭,제주시,건입동,제주시내,한식,회,1.02,0.38,1.85,4.05,1.89,3.49,0.49,0.17,2.2,3.56,2.08,3.14,0.34,0.26,0.9,1.46,0.85,1.29,0.62,0.27,1.65,3.02,1.61,2.64
7,주식회사 제이에스디비,제주시,건입동,제주시내,한식,단품요리 전문,1.45,3.88,0.17,2.73,0.26,3.65,1.03,3.1,0.14,2.01,0.22,2.75,0.31,2.29,0.08,1.18,0.1,1.34,0.93,3.09,0.13,1.97,0.19,2.58
8,산지물,제주시,건입동,제주시내,한식,가정식,2.24,1.44,0.9,2.6,1.04,2.67,2.69,1.79,1.09,2.28,1.22,2.55,2.65,4.05,0.67,1.52,0.83,1.89,2.53,2.43,0.89,2.13,1.03,2.37
9,국제토산품스낵,제주시,건입동,제주시내,한식,단품요리 전문,0.99,3.12,0.15,2.57,0.21,3.24,0.74,2.12,0.09,1.33,0.14,1.84,0.28,1.91,0.1,1.42,0.12,1.49,0.67,2.38,0.11,1.77,0.16,2.19
10,카페타리,제주시,건입동,제주시내,음료,커피,0.0,0.0,0.04,2.23,0.04,1.85,0.0,0.0,0.04,1.68,0.03,1.46,0.0,0.0,0.02,0.68,0.02,0.58,0.0,0.0,0.03,1.53,0.03,1.3
11,물항식당본점,제주시,건입동,제주시내,한식,가정식,1.06,0.81,0.74,2.01,0.8,1.95,0.73,0.5,0.61,1.25,0.63,1.25,0.41,0.69,0.37,0.77,0.37,0.76,0.73,0.67,0.57,1.34,0.6,1.32
12,(주)한일고속,제주시,건입동,제주시내,한식,단품요리 전문,0.31,0.84,0.08,1.85,0.1,1.84,0.23,0.95,0.04,0.87,0.06,1.06,0.05,0.53,0.04,0.69,0.04,0.67,0.2,0.77,0.05,1.14,0.07,1.19
13,돔베돈,제주시,건입동,제주시내,한식,돼지고기,2.18,0.63,0.84,1.74,0.97,1.66,1.11,0.36,0.73,1.16,0.76,1.12,0.53,0.53,0.47,0.82,0.47,0.78,1.27,0.51,0.68,1.24,0.73,1.19
14,에이바우트커피칠성점,제주시,건입동,제주시내,음료,커피,1.36,6.97,0.06,1.72,0.15,3.92,1.86,9.14,0.07,1.8,0.22,4.52,0.84,10.36,0.05,0.85,0.11,2.23,1.35,8.82,0.06,1.46,0.16,3.56
15,돈향기,제주시,건입동,제주시내,한식,돼지고기,0.76,0.41,0.76,1.67,0.8,1.52,0.54,0.22,0.88,1.55,0.85,1.41,0.48,0.45,0.48,0.84,0.48,0.78,0.59,0.36,0.71,1.35,0.71,1.24
16,롯데리아 제주항디티점,제주시,건입동,제주시내,패스트푸드,햄버거,3.37,8.7,0.09,1.57,0.32,4.42,3.3,9.03,0.1,1.29,0.36,4.05,1.34,9.26,0.07,0.9,0.18,2.11,2.67,9.0,0.09,1.25,0.29,3.53
17,남양,제주시,건입동,제주시내,한식,가정식,1.16,2.41,0.12,1.51,0.2,2.12,1.24,2.38,0.11,1.0,0.2,1.64,0.7,1.55,0.07,0.54,0.12,0.69,1.03,2.11,0.1,1.02,0.17,1.48
18,주식회사 바스코,제주시,건입동,제주시내,한식,단품요리 전문,12.93,8.97,0.25,1.42,1.15,4.39,10.39,8.64,0.32,1.11,1.13,3.76,4.41,7.07,0.12,0.58,0.48,1.52,9.24,8.23,0.23,1.04,0.92,3.22
19,신현대식당,제주시,건입동,제주시내,한식,가정식,0.21,0.16,0.49,1.31,0.49,1.15,0.39,0.31,0.36,0.98,0.36,0.95,0.18,0.26,0.11,0.25,0.11,0.25,0.26,0.24,0.32,0.85,0.32,0.78
20,(주)참숯구이몬트락,제주시,건입동,제주시내,한식,가정식,1.48,0.49,0.53,1.09,0.62,1.08,2.05,0.67,0.6,0.96,0.72,1.05,1.09,0.86,0.38,0.66,0.44,0.69,1.54,0.67,0.5,0.9,0.59,0.94
21,윤옥,제주시,건입동,제주시내,한식,단품요리 전문,2.54,3.74,0.09,0.92,0.27,2.1,2.23,3.61,0.08,0.66,0.25,1.74,0.99,3.53,0.05,0.38,0.13,0.84,1.92,3.63,0.07,0.65,0.22,1.56
22,뽀글뽀글,제주시,건입동,제주시내,한식,가정식,2.71,3.74,0.15,0.9,0.34,2.09,2.11,3.3,0.11,0.53,0.27,1.53,0.75,2.24,0.07,0.36,0.13,0.63,1.86,3.09,0.11,0.6,0.25,1.42
23,탑부평,제주시,건입동,제주시내,한식,단품요리 전문,4.48,1.6,0.37,0.87,0.67,1.29,3.21,1.34,0.32,0.57,0.56,0.93,1.39,1.19,0.15,0.21,0.25,0.35,3.03,1.38,0.28,0.55,0.49,0.86
24,제주시건입동도시재생현장지원센터,제주시,건입동,제주시내,음료,커피,0.77,2.14,0.04,0.81,0.1,1.44,0.4,1.31,0.05,0.6,0.08,0.94,0.16,1.29,0.03,0.38,0.04,0.51,0.44,1.58,0.04,0.6,0.07,0.96
25,팔도수산,제주시,건입동,제주시내,한식,회,0.57,0.54,0.13,0.81,0.17,0.86,0.48,0.59,0.13,0.65,0.16,0.75,0.56,1.0,0.11,0.44,0.15,0.52,0.54,0.71,0.12,0.63,0.16,0.71
26,앞돈지,제주시,건입동,제주시내,한식,돼지고기,2.61,1.22,0.3,0.77,0.48,1.08,2.95,1.54,0.24,0.49,0.46,0.92,1.82,2.26,0.21,0.43,0.34,0.69,2.46,1.67,0.25,0.56,0.43,0.9
27,몰랑몰랑카페,제주시,건입동,제주시내,음료,커피,0.7,0.81,0.07,0.75,0.12,0.91,0.58,0.67,0.07,0.55,0.11,0.7,0.12,0.43,0.02,0.19,0.03,0.23,0.47,0.64,0.05,0.5,0.09,0.61
28,미풍해장국 제주항점,제주시,건입동,제주시내,한식,해장국,0.8,1.19,0.07,0.7,0.13,1.01,0.79,1.26,0.1,0.59,0.16,0.91,0.22,0.84,0.05,0.27,0.06,0.35,0.6,1.1,0.07,0.52,0.12,0.76
29,브라보,제주시,건입동,제주시내,양식,양식,0.3,0.95,0.03,0.63,0.05,0.86,0.24,0.73,0.03,0.6,0.05,0.75,0.14,1.05,0.01,0.23,0.02,0.35,0.23,0.91,0.02,0.49,0.04,0.65
30,유명야시장,제주시,건입동,제주시내,한식,단품요리 전문,0.11,0.11,0.22,0.61,0.22,0.54,0.45,0.22,0.21,0.53,0.23,0.53,0.23,0.24,0.11,0.25,0.12,0.25,0.26,0.19,0.18,0.46,0.19,0.44
31,은빛식당,제주시,건입동,제주시내,한식,가정식,1.24,1.22,0.08,0.6,0.17,0.93,0.95,1.26,0.08,0.52,0.15,0.86,0.23,0.84,0.04,0.25,0.06,0.33,0.81,1.11,0.07,0.46,0.13,0.71
32,우당도서관구내식당,제주시,건입동,제주시내,한식,구내식당/푸드코트,1.14,7.81,0.01,0.57,0.09,3.27,0.91,7.13,0.02,0.49,0.09,2.73,0.33,6.33,0.01,0.24,0.03,1.12,0.79,7.09,0.01,0.43,0.07,2.37
33,기회횟집,제주시,건입동,제주시내,아시아음식,회,0.73,0.32,0.24,0.55,0.28,0.57,0.62,0.33,0.29,0.48,0.32,0.52,0.45,0.38,0.15,0.25,0.17,0.27,0.6,0.34,0.23,0.43,0.26,0.45
34,해진횟집,제주시,건입동,제주시내,아시아음식,회,1.63,0.27,0.51,0.51,0.62,0.52,0.58,0.05,0.38,0.37,0.4,0.34,0.52,0.22,0.33,0.28,0.35,0.27,0.91,0.18,0.41,0.39,0.46,0.38
35,금보식당,제주시,건입동,제주시내,한식,가정식,1.48,0.35,0.17,0.43,0.27,0.49,0.88,0.39,0.07,0.17,0.13,0.27,0.26,0.24,0.06,0.1,0.07,0.12,0.87,0.33,0.1,0.23,0.16,0.29
36,신해조,제주시,건입동,제주시내,한식,가정식,0.58,0.3,0.14,0.42,0.18,0.46,0.54,0.39,0.12,0.29,0.15,0.38,0.46,0.69,0.04,0.12,0.08,0.2,0.53,0.46,0.1,0.28,0.14,0.35
37,서가앤쿡 제주점,제주시,건입동,제주시내,양식,패밀리 레스토랑,4.28,2.33,0.13,0.41,0.43,1.17,3.45,2.38,0.13,0.5,0.4,1.2,1.29,1.88,0.1,0.34,0.19,0.56,3.01,2.2,0.12,0.42,0.34,0.98
38,김밥천국탑동본점,제주시,건입동,제주시내,간식,분식,0.57,1.63,0.03,0.41,0.07,0.92,0.57,1.42,0.02,0.26,0.07,0.69,0.24,1.76,0.01,0.15,0.03,0.39,0.46,1.6,0.02,0.27,0.06,0.67
39,건입동마을협동조합,제주시,건입동,제주시내,한식,가정식,0.86,0.73,0.08,0.36,0.14,0.56,0.58,0.45,0.07,0.27,0.11,0.38,0.21,0.36,0.03,0.1,0.04,0.13,0.55,0.51,0.06,0.24,0.1,0.36
40,복희해장국,제주시,건입동,제주시내,한식,해장국,0.35,0.54,0.03,0.34,0.06,0.48,0.27,0.28,0.03,0.19,0.05,0.25,0.06,0.17,0.02,0.13,0.02,0.14,0.23,0.33,0.03,0.22,0.04,0.29
41,영천횟집,제주시,건입동,제주시내,한식,회,0.89,0.16,0.27,0.33,0.32,0.33,0.56,0.11,0.32,0.31,0.34,0.31,0.5,0.17,0.15,0.15,0.18,0.15,0.65,0.15,0.25,0.26,0.28,0.26
42,주식회사 베드라디오,제주시,건입동,제주시내,한식,가정식,0.17,0.19,0.04,0.33,0.05,0.34,0.15,0.22,0.06,0.45,0.06,0.46,0.04,0.09,0.02,0.13,0.02,0.13,0.12,0.17,0.04,0.3,0.04,0.31
43,조약돌,제주시,건입동,제주시내,한식,가정식,1.54,1.66,0.08,0.31,0.19,0.85,1.43,1.59,0.02,0.12,0.14,0.62,0.43,1.45,0.01,0.05,0.04,0.25,1.13,1.57,0.04,0.16,0.12,0.57
44,호텔더블류탑동점,제주시,건입동,제주시내,한식,단품요리 전문,0.26,0.14,0.1,0.31,0.12,0.3,0.12,0.08,0.08,0.17,0.09,0.17,0.07,0.09,0.05,0.12,0.05,0.11,0.15,0.1,0.08,0.2,0.09,0.19
45,해동이네,제주시,건입동,제주시내,한식,가정식,1.48,2.33,0.04,0.29,0.14,1.08,1.15,1.87,0.03,0.24,0.12,0.81,0.34,1.4,0.01,0.09,0.04,0.28,0.99,1.87,0.03,0.21,0.1,0.72
46,전통탑향,제주시,건입동,제주시내,한식,가정식,1.38,1.27,0.04,0.29,0.13,0.7,0.95,0.87,0.01,0.05,0.08,0.33,0.82,1.95,0.01,0.06,0.08,0.34,1.05,1.36,0.02,0.13,0.1,0.46
47,우정회관,제주시,건입동,제주시내,한식,가정식,0.35,0.08,0.45,0.29,0.47,0.27,1.51,0.11,0.21,0.14,0.32,0.15,0.38,0.17,0.11,0.12,0.13,0.12,0.75,0.12,0.26,0.18,0.31,0.18
48,소라횟집,제주시,건입동,제주시내,한식,회,1.01,0.3,0.17,0.28,0.24,0.34,0.64,0.14,0.43,0.29,0.45,0.3,0.29,0.17,0.1,0.13,0.12,0.14,0.65,0.2,0.23,0.23,0.27,0.26
49,소라횟집,제주시,건입동,제주시내,한식,회,1.01,0.3,0.17,0.28,0.24,0.34,0.64,0.14,0.43,0.29,0.45,0.3,0.56,1.02,0.08,0.27,0.12,0.38,0.74,0.49,0.23,0.28,0.27,0.34
50,소라횟집,제주시,건입동,제주시내,한식,회,1.01,0.3,0.17,0.28,0.24,0.34,0.73,0.78,0.08,0.26,0.14,0.48,0.29,0.17,0.1,0.13,0.12,0.14,0.68,0.42,0.12,0.22,0.17,0.32
51,소라횟집,제주시,건입동,제주시내,한식,회,1.01,0.3,0.17,0.28,0.24,0.34,0.73,0.78,0.08,0.26,0.14,0.48,0.56,1.02,0.08,0.27,0.12,0.38,0.77,0.7,0.11,0.27,0.17,0.4
52,소완도식당,제주시,건입동,제주시내,한식,가정식,0.42,0.41,0.04,0.28,0.07,0.38,0.26,0.48,0.04,0.29,0.06,0.41,0.1,0.43,0.01,0.07,0.02,0.12,0.26,0.44,0.03,0.21,0.05,0.3
53,서부두,제주시,건입동,제주시내,한식,가정식,0.33,0.3,0.09,0.28,0.11,0.34,0.77,0.33,0.07,0.22,0.13,0.3,0.54,0.78,0.06,0.15,0.1,0.24,0.55,0.47,0.07,0.22,0.11,0.29
54,정주네 식당,제주시,건입동,제주시내,한식,가정식,0.44,0.35,0.09,0.27,0.12,0.35,0.17,0.17,0.03,0.21,0.04,0.24,0.07,0.24,0.02,0.1,0.03,0.12,0.23,0.25,0.05,0.19,0.06,0.24
55,안전,제주시,건입동,제주시내,한식,가정식,2.07,3.15,0.02,0.26,0.17,1.34,1.42,2.63,0.04,0.29,0.15,1.1,0.58,2.22,0.02,0.09,0.06,0.4,1.36,2.67,0.03,0.21,0.13,0.95
56,교촌치킨탑동점,제주시,건입동,제주시내,패스트푸드,치킨,1.38,1.79,0.04,0.26,0.13,0.86,1.22,1.79,0.05,0.31,0.14,0.85,0.54,1.74,0.04,0.24,0.09,0.46,1.05,1.77,0.04,0.27,0.12,0.72
57,동문카페,제주시,건입동,제주시내,음료,커피,0.9,0.73,0.04,0.26,0.11,0.48,0.79,0.78,0.06,0.2,0.12,0.43,0.43,0.71,0.02,0.09,0.06,0.18,0.71,0.74,0.04,0.18,0.1,0.36
58,화로향,제주시,건입동,제주시내,한식,단품요리 전문,1.07,0.16,0.14,0.23,0.21,0.25,0.35,0.14,0.14,0.22,0.15,0.24,0.44,0.09,0.05,0.1,0.08,0.1,0.62,0.13,0.11,0.18,0.15,0.2
59,르부이부이,제주시,건입동,제주시내,한식,가정식,1.2,0.24,0.11,0.22,0.19,0.27,0.65,0.2,0.13,0.19,0.17,0.23,0.26,0.19,0.07,0.08,0.09,0.09,0.7,0.21,0.1,0.16,0.15,0.2
60,슬기식당,제주시,건입동,제주시내,한식,가정식,1.13,1.81,0.02,0.22,0.1,0.83,1.2,1.85,0.01,0.09,0.11,0.68,0.19,0.74,0.0,0.02,0.02,0.12,0.84,1.47,0.01,0.11,0.08,0.54
61,끄띠탑동,제주시,건입동,제주시내,한식,단품요리 전문,0.67,0.27,0.06,0.22,0.11,0.28,0.08,0.08,0.07,0.2,0.07,0.2,0.29,0.38,0.04,0.13,0.06,0.17,0.35,0.24,0.06,0.18,0.08,0.22
62,대궁갈비,제주시,건입동,제주시내,한식,갈비,3.8,1.57,0.07,0.21,0.34,0.74,1.56,0.84,0.03,0.06,0.16,0.33,0.86,1.05,0.02,0.05,0.09,0.2,2.07,1.15,0.04,0.11,0.2,0.42
63,거제도횟집,제주시,건입동,제주시내,한식,회,0.6,0.05,0.21,0.21,0.25,0.19,0.8,0.08,0.01,0.03,0.07,0.05,0.18,0.05,0.05,0.06,0.06,0.06,0.53,0.06,0.09,0.1,0.13,0.1
64,하나로식당,제주시,건입동,제주시내,한식,단품요리 전문,1.6,2.47,0.03,0.2,0.14,1.05,1.01,1.87,0.02,0.11,0.1,0.71,0.37,1.45,0.01,0.06,0.04,0.27,0.99,1.93,0.02,0.12,0.09,0.68
65,꽃진미,제주시,건입동,제주시내,한식,가정식,0.7,1.57,0.02,0.2,0.07,0.73,0.75,1.29,0.02,0.18,0.08,0.57,0.24,0.86,0.01,0.11,0.03,0.22,0.56,1.24,0.02,0.16,0.06,0.51
66,대돈앤엘리팝,제주시,건입동,제주시내,주점및주류판매,돼지고기,0.3,0.19,0.06,0.2,0.08,0.23,0.19,0.11,0.08,0.19,0.09,0.2,0.08,0.12,0.02,0.08,0.03,0.08,0.19,0.14,0.05,0.16,0.07,0.17
67,휘슬피쉬본점,제주시,건입동,제주시내,한식,단품요리 전문,0.28,0.14,0.08,0.2,0.09,0.21,0.26,0.14,0.06,0.15,0.08,0.17,0.11,0.12,0.05,0.14,0.05,0.13,0.22,0.13,0.06,0.16,0.07,0.17
68,탑고향,제주시,건입동,제주시내,한식,가정식,0.13,0.05,0.1,0.2,0.1,0.18,0.07,0.05,0.03,0.06,0.03,0.07,0.05,0.05,0.03,0.04,0.03,0.04,0.08,0.05,0.05,0.1,0.05,0.1
69,정말맛있는식당,제주시,건입동,제주시내,한식,가정식,1.56,1.66,0.02,0.19,0.13,0.75,0.69,1.74,0.01,0.12,0.06,0.67,0.23,1.26,0.01,0.07,0.02,0.24,0.83,1.55,0.01,0.13,0.07,0.55
70,하노이안브라더스,제주시,건입동,제주시내,한식,단품요리 전문,1.51,1.66,0.03,0.19,0.13,0.75,1.21,1.54,0.03,0.15,0.12,0.62,0.44,1.24,0.02,0.14,0.06,0.3,1.05,1.48,0.03,0.16,0.1,0.56
71,돈물국수,제주시,건입동,제주시내,한식,면류,1.0,1.57,0.02,0.19,0.09,0.72,0.8,1.48,0.0,0.05,0.07,0.52,0.44,2.14,0.01,0.06,0.04,0.37,0.75,1.73,0.01,0.1,0.07,0.54
72,유달산,제주시,건입동,제주시내,한식,가정식,0.47,0.3,0.04,0.19,0.08,0.26,0.12,0.2,0.04,0.15,0.05,0.19,0.01,0.07,0.03,0.1,0.03,0.09,0.2,0.19,0.04,0.15,0.05,0.18
73,서부두초가장,제주시,건입동,제주시내,한식,단품요리 전문,0.25,0.11,0.12,0.19,0.13,0.19,0.09,0.03,0.08,0.11,0.08,0.11,0.0,0.0,0.02,0.04,0.02,0.04,0.11,0.05,0.07,0.11,0.08,0.11
74,파티올레키친,제주시,건입동,제주시내,한식,가정식,0.09,0.27,0.01,0.19,0.02,0.25,0.02,0.08,0.0,0.04,0.01,0.06,0.01,0.09,0.01,0.05,0.01,0.06,0.04,0.15,0.01,0.09,0.01,0.12
75,주식회사 제로포인트트레일,제주시,건입동,제주시내,한식,단품요리 전문,0.03,0.11,0.02,0.19,0.02,0.19,0.02,0.08,0.03,0.1,0.03,0.12,0.0,0.0,0.0,0.03,0.0,0.03,0.02,0.06,0.02,0.11,0.02,0.11
76,해짓골국수,제주시,건입동,제주시내,한식,면류,0.08,0.08,0.03,0.18,0.03,0.17,0.37,0.61,0.07,0.51,0.1,0.64,0.13,0.36,0.04,0.25,0.05,0.26,0.19,0.35,0.05,0.31,0.06,0.36
77,오동도식당,제주시,건입동,제주시내,한식,가정식,0.06,0.08,0.02,0.18,0.03,0.17,0.04,0.08,0.01,0.05,0.02,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.05,0.01,0.08,0.02,0.08
78,제주이디오라커피,제주시,건입동,제주시내,한식,커피,0.05,0.11,0.01,0.18,0.01,0.18,0.05,0.22,0.01,0.11,0.01,0.17,0.02,0.22,0.0,0.07,0.01,0.09,0.04,0.18,0.01,0.12,0.01,0.15
79,대진횟집,제주시,건입동,제주시내,한식,회,0.84,0.14,0.16,0.17,0.22,0.18,0.55,0.08,0.08,0.1,0.12,0.12,0.28,0.14,0.07,0.07,0.09,0.08,0.56,0.12,0.1,0.11,0.14,0.13
80,칠성골흑돼지,제주시,건입동,제주시내,한식,돼지고기,0.52,0.08,0.07,0.17,0.1,0.17,0.18,0.05,0.11,0.22,0.12,0.21,0.04,0.05,0.08,0.1,0.07,0.09,0.25,0.06,0.09,0.16,0.1,0.16
81,전설의짬뽕 동문로점,제주시,건입동,제주시내,아시아음식,중식,1.12,1.68,0.01,0.15,0.09,0.73,0.92,1.4,0.02,0.18,0.09,0.61,0.33,1.31,0.01,0.07,0.04,0.25,0.79,1.46,0.01,0.13,0.07,0.53
82,블랙데이,제주시,건입동,제주시내,아시아음식,중식,0.82,1.74,0.01,0.15,0.07,0.75,0.7,1.82,0.02,0.14,0.07,0.71,0.28,1.26,0.0,0.01,0.02,0.19,0.6,1.61,0.01,0.1,0.05,0.55
83,항운노조구내매점,제주시,건입동,제주시내,한식,구내식당/푸드코트,0.78,2.03,0.01,0.15,0.07,0.86,0.43,1.42,0.01,0.05,0.04,0.51,0.3,2.05,0.01,0.05,0.03,0.34,0.5,1.83,0.01,0.08,0.05,0.57
84,동서지간,제주시,건입동,제주시내,한식,가정식,1.7,2.33,0.02,0.14,0.13,0.95,1.54,2.23,0.01,0.07,0.13,0.79,0.4,1.69,0.01,0.04,0.04,0.28,1.21,2.08,0.01,0.08,0.1,0.67
85,서부두한라,제주시,건입동,제주시내,아시아음식,일식,0.23,0.14,0.07,0.14,0.09,0.17,0.31,0.17,0.07,0.12,0.09,0.16,0.08,0.09,0.02,0.06,0.02,0.06,0.21,0.13,0.05,0.11,0.07,0.13
86,세리빠,제주시,건입동,제주시내,양식,양식,0.88,0.27,0.05,0.13,0.11,0.2,0.63,0.28,0.19,0.28,0.22,0.34,0.39,0.38,0.04,0.06,0.07,0.11,0.63,0.31,0.09,0.16,0.13,0.22
87,질레,제주시,건입동,제주시내,한식,가정식,0.64,0.71,0.01,0.13,0.06,0.36,0.47,0.81,0.03,0.16,0.07,0.4,0.21,0.74,0.01,0.04,0.02,0.14,0.44,0.75,0.02,0.11,0.05,0.3
88,맘스터치 일도동문점,제주시,건입동,제주시내,패스트푸드,햄버거,0.46,0.84,0.01,0.13,0.04,0.41,0.48,0.89,0.0,0.0,0.04,0.29,0.12,0.5,0.0,0.02,0.01,0.09,0.35,0.74,0.0,0.05,0.03,0.26
89,신도원,제주시,건입동,제주시내,한식,가정식,0.45,0.27,0.03,0.13,0.06,0.2,0.73,0.61,0.07,0.25,0.12,0.42,0.11,0.33,0.02,0.08,0.03,0.12,0.43,0.4,0.04,0.15,0.07,0.25
90,키친테왁,제주시,건입동,제주시내,한식,가정식,0.38,0.41,0.02,0.12,0.04,0.24,0.31,0.28,0.04,0.08,0.06,0.16,0.28,0.43,0.01,0.05,0.04,0.11,0.32,0.37,0.02,0.08,0.05,0.17
91,맛고을명가,제주시,건입동,제주시내,한식,가정식,0.79,0.41,0.05,0.11,0.11,0.23,0.4,0.33,0.05,0.11,0.08,0.21,0.47,0.55,0.01,0.02,0.05,0.1,0.55,0.43,0.04,0.08,0.08,0.18
92,모음해장국,제주시,건입동,제주시내,한식,해장국,0.63,1.08,0.02,0.11,0.06,0.48,0.38,0.73,0.01,0.06,0.04,0.29,0.28,0.81,0.0,0.03,0.03,0.14,0.43,0.87,0.01,0.07,0.04,0.3
93,손가네국수,제주시,건입동,제주시내,한식,면류,0.16,0.22,0.01,0.11,0.02,0.17,0.11,0.22,0.01,0.09,0.02,0.15,0.11,0.53,0.01,0.09,0.02,0.15,0.13,0.32,0.01,0.1,0.02,0.16
94,팔팔수제치킨,제주시,건입동,제주시내,패스트푸드,치킨,0.03,0.05,0.01,0.11,0.01,0.11,0.0,0.0,0.0,0.04,0.0,0.04,0.02,0.07,0.01,0.05,0.01,0.06,0.02,0.04,0.01,0.07,0.01,0.07
95,오솔길,제주시,건입동,제주시내,한식,가정식,0.32,0.16,0.03,0.09,0.05,0.14,0.53,0.25,0.04,0.09,0.08,0.16,0.17,0.09,0.03,0.06,0.04,0.07,0.34,0.17,0.03,0.08,0.06,0.12
96,가본,제주시,건입동,제주시내,한식,가정식,0.26,0.14,0.04,0.09,0.06,0.13,0.21,0.11,0.04,0.06,0.05,0.09,0.06,0.14,0.01,0.02,0.01,0.04,0.18,0.13,0.03,0.06,0.04,0.09
97,탕앤돈,제주시,건입동,제주시내,아시아음식,돼지고기,0.23,0.24,0.01,0.09,0.03,0.17,0.09,0.14,0.01,0.06,0.01,0.1,0.12,0.57,0.01,0.07,0.02,0.14,0.15,0.32,0.01,0.07,0.02,0.14
98,해금,제주시,건입동,제주시내,아시아음식,일식,0.0,0.0,0.06,0.09,0.06,0.08,0.0,0.0,0.05,0.09,0.04,0.08,0.07,0.02,0.01,0.02,0.02,0.02,0.02,0.01,0.04,0.07,0.04,0.06
99,팔복고기상회,제주시,건입동,제주시내,한식,단품요리 전문,1.24,1.49,0.01,0.08,0.09,0.6,1.28,1.68,0.01,0.06,0.11,0.6,0.06,0.17,0.0,0.0,0.0,0.02,0.86,1.11,0.01,0.05,0.07,0.41
100,제주어멍돔베고기,제주시,건입동,제주시내,한식,단품요리 전문,0.67,0.54,0.02,0.08,0.06,0.26,0.29,0.22,0.0,0.0,0.02,0.07,0.15,0.19,0.01,0.04,0.02,0.06,0.37,0.32,0.01,0.04,0.03,0.13
101,금항아리,제주시,건입동,제주시내,한식,가정식,0.41,0.44,0.01,0.08,0.04,0.22,0.15,0.31,0.01,0.06,0.02,0.15,0.05,0.19,0.0,0.02,0.01,0.04,0.2,0.31,0.01,0.05,0.02,0.14
102,목포세발낙지,제주시,건입동,제주시내,한식,낙지,0.78,0.27,0.06,0.07,0.11,0.16,0.93,0.39,0.04,0.06,0.11,0.18,0.13,0.14,0.02,0.04,0.03,0.06,0.61,0.27,0.04,0.06,0.08,0.13
103,어하영,제주시,건입동,제주시내,한식,단품요리 전문,0.21,0.14,0.04,0.07,0.06,0.11,0.13,0.08,0.0,0.01,0.01,0.04,0.42,0.64,0.02,0.04,0.05,0.13,0.25,0.29,0.02,0.04,0.04,0.09
104,사라봉주물럭,제주시,건입동,제주시내,한식,가정식,0.2,0.14,0.01,0.07,0.02,0.11,0.41,0.22,0.05,0.07,0.08,0.14,0.09,0.17,0.0,0.01,0.01,0.03,0.23,0.18,0.02,0.05,0.04,0.09
105,비스트로올댓제주,제주시,건입동,제주시내,한식,단품요리 전문,0.16,0.08,0.05,0.07,0.06,0.09,0.29,0.08,0.06,0.06,0.08,0.08,0.02,0.02,0.01,0.02,0.01,0.02,0.16,0.06,0.04,0.05,0.05,0.06
106,우도흑돼지,제주시,건입동,제주시내,한식,돼지고기,0.16,0.05,0.02,0.07,0.03,0.08,0.28,0.08,0.03,0.06,0.05,0.08,0.1,0.09,0.0,0.01,0.01,0.02,0.18,0.07,0.02,0.05,0.03,0.06
107,돈떵이서부두점,제주시,건입동,제주시내,한식,돼지고기,0.0,0.0,0.03,0.07,0.03,0.06,0.09,0.03,0.06,0.08,0.06,0.08,0.17,0.09,0.05,0.06,0.06,0.06,0.09,0.04,0.05,0.07,0.05,0.07
